Feature,Display_Name,Mean_SHAP,CI_lo,CI_hi,Pct
NaOH,NaOH solution,5.5279264,4.407834911346436,6.643102169036866,20.180712
Initial curing time (day),Initial curing time (d),4.043333,3.48137880563736,4.608803069591523,14.760931
NaOH (Dry),NaOH (Dry),3.84608,3.02425936460495,4.7390365362167355,14.040822
Superplasticizer,Superplasticizer,2.7890384,2.281091994047165,3.3202277779579163,10.181897
Initial curing temp (C),Initial curing temp (C),2.5209787,2.079928147792816,3.149278277158737,9.203297
Water (2),Water (2),1.4780155,1.3359232276678086,1.6028881579637528,5.3957677
Na2SiO3,Na2SiO3 solution,1.3805887,0.9634576335549354,1.7452443301677707,5.040093
Total water,Total water,1.2659559,0.9645598083734512,1.655471459031105,4.621605
GGBFS (kg/m3),GGBFS (kg/m3),0.97539616,0.8447967514395713,1.1111558616161348,3.5608628
Coarse aggregate (kg/m3),Coarse aggregate (kg/m3),0.81481934,0.5934590399265289,1.0868243068456651,2.9746478
FA (kg/m3),Fly ash (kg/m3),0.76469785,0.5902741953730584,0.9787308096885682,2.7916703
Concentration (M) NaOH,NaOH molarity (M),0.6030875,0.38179899230599407,0.9212986260652543,2.2016819
Sio2 (Dry),Sio2 (Dry),0.39903298,0.3031632751226425,0.4905341885983944,1.4567432
Fine aggregate (kg/m3),Fine aggregate (kg/m3),0.27770966,0.20938661955296994,0.34529181122779845,1.0138302
Water (1),Water (1),0.2540443,0.18026906736195086,0.34055190682411196,0.92743546
Na2O (Dry),Na2O (Dry),0.18799995,0.14909842945635318,0.2361291591078043,0.6863284
Additional water,Additional water,0.13158174,0.09276857320219278,0.18004343137145043,0.4803633
Final curing temp (C),Final curing temp (C),0.109335914,0.08188011161983014,0.1379678189754486,0.39915088
Initial curing rest time (day),Initial curing rest time (day),0.022504013,0.013620452047325671,0.03628817824646831,0.082155034
