Feature,Display_Name,Mean_SHAP,CI_lo,CI_hi,Pct
GGBFS (kg/m3),GGBFS (kg/m3),5.6454306,5.119540631771088,6.242642164230347,35.72262
NaOH (Dry),NaOH (Dry),1.8965809,1.0438282787799835,2.864468032121659,12.001004
Initial curing time (day),Initial curing time (d),1.227168,1.0174438327550888,1.4601284593343735,7.7651567
Na2SiO3,Na2SiO3 solution,1.171207,1.0085252434015275,1.3586098045110704,7.411052
FA (kg/m3),Fly ash (kg/m3),1.0627275,0.9294223710894585,1.2075106412172318,6.7246256
Concentration (M) NaOH,NaOH molarity (M),0.87637657,0.4901329465210438,1.3316057980060578,5.545452
Water (2),Water (2),0.7466535,0.5753147825598717,0.9138715162873269,4.724603
Initial curing temp (C),Initial curing temp (C),0.7041834,0.6088831782341003,0.7898799270391464,4.455865
NaOH,NaOH solution,0.5546336,0.43540751487016677,0.6720981433987617,3.509558
Water (1),Water (1),0.4982834,0.43175587728619574,0.5800520315766334,3.15299
Coarse aggregate (kg/m3),Coarse aggregate (kg/m3),0.42295575,0.3356672264635563,0.5149766713380813,2.6763391
Total water,Total water,0.27061805,0.21614586524665355,0.33179258778691295,1.7123913
Sio2 (Dry),Sio2 (Dry),0.17222276,0.1476329404860735,0.20137971974909308,1.0897748
Fine aggregate (kg/m3),Fine aggregate (kg/m3),0.16884993,0.1395984798669815,0.19996819943189623,1.0684325
Na2O (Dry),Na2O (Dry),0.1526969,0.12651707977056503,0.17670886814594272,0.9662209
Superplasticizer,Superplasticizer,0.12948532,0.10788507256656886,0.1530922543257475,0.8193449
Initial curing rest time (day),Initial curing rest time (day),0.10074818,0.0807809280231595,0.1243907580152154,0.63750476
Additional water,Additional water,0.00244973,0.0017094240232836456,0.003684448910644278,0.015501168
Final curing temp (C),Final curing temp (C),0.00024767808,0.00019863999623339623,0.00030315769035951237,0.0015672338
