NaOH_M,FineAgg_kgm3,CuringTemp_C,CuringTime_hr,Age_days,FA_binder_ratio,RCA_ratio,TotalCoarse_kgm3,Agg_Binder_ratio,CS_MPa,Source
8.0,650.0,24.0,24.0,3.0,1.0,0.0,1150.0,4.5,25.7,DS1_RCA_GPC
8.0,650.0,48.0,24.0,3.0,1.0,0.0,1150.0,4.5,29.6,DS1_RCA_GPC
8.0,650.0,48.0,48.0,3.0,1.0,0.0,1150.0,4.5,52.4,DS1_RCA_GPC
8.0,650.0,48.0,72.0,3.0,1.0,0.0,1150.0,4.5,63.7,DS1_RCA_GPC
8.0,650.0,60.0,24.0,3.0,1.0,0.0,1150.0,4.5,32.6,DS1_RCA_GPC
8.0,650.0,60.0,48.0,3.0,1.0,0.0,1150.0,4.5,53.0,DS1_RCA_GPC
8.0,650.0,60.0,72.0,3.0,1.0,0.0,1150.0,4.5,64.0,DS1_RCA_GPC
8.0,650.0,24.0,24.0,7.0,1.0,0.0,1150.0,4.5,26.3,DS1_RCA_GPC
8.0,650.0,48.0,24.0,7.0,1.0,0.0,1150.0,4.5,30.6,DS1_RCA_GPC
8.0,650.0,48.0,48.0,7.0,1.0,0.0,1150.0,4.5,52.7,DS1_RCA_GPC
8.0,650.0,48.0,72.0,7.0,1.0,0.0,1150.0,4.5,63.6,DS1_RCA_GPC
8.0,650.0,60.0,24.0,7.0,1.0,0.0,1150.0,4.5,32.8,DS1_RCA_GPC
8.0,650.0,60.0,48.0,7.0,1.0,0.0,1150.0,4.5,52.9,DS1_RCA_GPC
8.0,650.0,60.0,72.0,7.0,1.0,0.0,1150.0,4.5,64.1,DS1_RCA_GPC
8.0,650.0,24.0,24.0,14.0,1.0,0.0,1150.0,4.5,27.8,DS1_RCA_GPC
8.0,650.0,48.0,24.0,14.0,1.0,0.0,1150.0,4.5,32.8,DS1_RCA_GPC
8.0,650.0,48.0,48.0,14.0,1.0,0.0,1150.0,4.5,52.7,DS1_RCA_GPC
8.0,650.0,48.0,72.0,14.0,1.0,0.0,1150.0,4.5,65.3,DS1_RCA_GPC
8.0,650.0,60.0,24.0,14.0,1.0,0.0,1150.0,4.5,34.4,DS1_RCA_GPC
8.0,650.0,60.0,48.0,14.0,1.0,0.0,1150.0,4.5,52.9,DS1_RCA_GPC
8.0,650.0,60.0,72.0,14.0,1.0,0.0,1150.0,4.5,65.7,DS1_RCA_GPC
8.0,650.0,24.0,24.0,28.0,1.0,0.0,1150.0,4.5,32.0,DS1_RCA_GPC
8.0,650.0,48.0,24.0,28.0,1.0,0.0,1150.0,4.5,38.1,DS1_RCA_GPC
8.0,650.0,48.0,48.0,28.0,1.0,0.0,1150.0,4.5,52.2,DS1_RCA_GPC
8.0,650.0,48.0,72.0,28.0,1.0,0.0,1150.0,4.5,66.2,DS1_RCA_GPC
8.0,650.0,60.0,24.0,28.0,1.0,0.0,1150.0,4.5,40.0,DS1_RCA_GPC
8.0,650.0,60.0,48.0,28.0,1.0,0.0,1150.0,4.5,55.6,DS1_RCA_GPC
8.0,650.0,60.0,72.0,28.0,1.0,0.0,1150.0,4.5,67.0,DS1_RCA_GPC
10.0,650.0,24.0,24.0,3.0,1.0,0.0,1150.0,4.5,28.3,DS1_RCA_GPC
10.0,650.0,48.0,24.0,3.0,1.0,0.0,1150.0,4.5,32.5,DS1_RCA_GPC
10.0,650.0,48.0,48.0,3.0,1.0,0.0,1150.0,4.5,57.6,DS1_RCA_GPC
10.0,650.0,48.0,72.0,3.0,1.0,0.0,1150.0,4.5,70.0,DS1_RCA_GPC
10.0,650.0,60.0,24.0,3.0,1.0,0.0,1150.0,4.5,35.9,DS1_RCA_GPC
10.0,650.0,60.0,48.0,3.0,1.0,0.0,1150.0,4.5,58.3,DS1_RCA_GPC
10.0,650.0,60.0,72.0,3.0,1.0,0.0,1150.0,4.5,70.4,DS1_RCA_GPC
10.0,650.0,24.0,24.0,7.0,1.0,0.0,1150.0,4.5,28.9,DS1_RCA_GPC
10.0,650.0,48.0,24.0,7.0,1.0,0.0,1150.0,4.5,33.7,DS1_RCA_GPC
10.0,650.0,48.0,48.0,7.0,1.0,0.0,1150.0,4.5,57.9,DS1_RCA_GPC
10.0,650.0,48.0,72.0,7.0,1.0,0.0,1150.0,4.5,69.9,DS1_RCA_GPC
10.0,650.0,60.0,24.0,7.0,1.0,0.0,1150.0,4.5,36.1,DS1_RCA_GPC
10.0,650.0,60.0,48.0,7.0,1.0,0.0,1150.0,4.5,58.2,DS1_RCA_GPC
10.0,650.0,60.0,72.0,7.0,1.0,0.0,1150.0,4.5,70.5,DS1_RCA_GPC
10.0,650.0,24.0,24.0,14.0,1.0,0.0,1150.0,4.5,30.6,DS1_RCA_GPC
10.0,650.0,48.0,24.0,14.0,1.0,0.0,1150.0,4.5,36.0,DS1_RCA_GPC
10.0,650.0,48.0,48.0,14.0,1.0,0.0,1150.0,4.5,57.9,DS1_RCA_GPC
10.0,650.0,48.0,72.0,14.0,1.0,0.0,1150.0,4.5,71.9,DS1_RCA_GPC
10.0,650.0,60.0,24.0,14.0,1.0,0.0,1150.0,4.5,37.9,DS1_RCA_GPC
10.0,650.0,60.0,48.0,14.0,1.0,0.0,1150.0,4.5,58.2,DS1_RCA_GPC
10.0,650.0,60.0,72.0,14.0,1.0,0.0,1150.0,4.5,72.2,DS1_RCA_GPC
10.0,650.0,24.0,24.0,28.0,1.0,0.0,1150.0,4.5,35.2,DS1_RCA_GPC
10.0,650.0,48.0,24.0,28.0,1.0,0.0,1150.0,4.5,42.0,DS1_RCA_GPC
10.0,650.0,48.0,48.0,28.0,1.0,0.0,1150.0,4.5,57.4,DS1_RCA_GPC
10.0,650.0,48.0,72.0,28.0,1.0,0.0,1150.0,4.5,72.8,DS1_RCA_GPC
10.0,650.0,60.0,24.0,28.0,1.0,0.0,1150.0,4.5,44.0,DS1_RCA_GPC
10.0,650.0,60.0,48.0,28.0,1.0,0.0,1150.0,4.5,61.2,DS1_RCA_GPC
10.0,650.0,60.0,72.0,28.0,1.0,0.0,1150.0,4.5,73.7,DS1_RCA_GPC
12.0,650.0,24.0,24.0,3.0,1.0,0.0,1150.0,4.5,31.1,DS1_RCA_GPC
12.0,650.0,48.0,24.0,3.0,1.0,0.0,1150.0,4.5,35.8,DS1_RCA_GPC
12.0,650.0,48.0,48.0,3.0,1.0,0.0,1150.0,4.5,63.4,DS1_RCA_GPC
